as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4196500000Y2989150000Z0;8.2637937422;50.0017273693;8.263453303;50.0014973372;8.2634370054;50.0019467663;8.2641341845;50.0019574003;8.2641504757;50.001507971;TGB101_100mX4196500000Y2989100000Z0
TGB101_50mX4190050000Y2988150000Z0;8.1742031267;49.9913317864;8.1738631893;49.9911014872;8.1738460565;49.9915509024;8.1745430674;49.9915620846;8.1745601936;49.9911126693;TGB101_100mX4190000000Y2988100000Z0
TGB101_50mX4196000000Y2990350000Z0;8.2564292521;50.012407071;8.2560887732;50.0121770176;8.256072401;50.012626444;8.2567697342;50.0126371234;8.2567860999;50.0121876969;TGB101_100mX4196000000Y2990300000Z0
TGB101_50mX4194250000Y2979250000Z0;8.2356980311;49.9122572878;8.2353583526;49.9120271673;8.2353418377;49.9124766043;8.2360377127;49.9124874072;8.2360542212;49.9120379701;TGB101_100mX4194200000Y2979200000Z0
TGB101_50mX4197350000Y2988550000Z0;8.2758399453;49.99651435;8.2754994851;49.9962843536;8.2754833031;49.9967337854;8.2761804087;49.9967443454;8.2761965841;49.9962949135;TGB101_100mX4197300000Y2988500000Z0
TGB101_50mX4196750000Y2989350000Z0;8.2672145752;50.0035782037;8.2668741067;50.003348182;8.2668578402;50.0037976114;8.2675550469;50.0038082245;8.2675713069;50.0033587949;TGB101_100mX4196700000Y2989300000Z0
TGB101_50mX4196600000Y2989200000Z0;8.265171813;50.0021980578;8.264831364;50.0019680299;8.264815079;50.0024174592;8.2655122652;50.0024280847;8.2655285437;50.0019786553;TGB101_100mX4196600000Y2989200000Z0
TGB101_50mX4196250000Y2989450000Z0;8.2602098968;50.004370717;8.2598694563;50.0041406744;8.2598531236;50.0045901026;8.2605503406;50.0046007585;8.2605666667;50.0041513303;TGB101_100mX4196200000Y2989400000Z0
TGB101_50mX4195950000Y2984750000Z0;8.2575635736;49.9620602287;8.2572234424;49.961830176;8.2572071066;49.9622796096;8.257903708;49.9622902803;8.2579200373;49.9618408466;TGB101_100mX4195900000Y2984700000Z0
TGB101_50mX4194000000Y2992000000Z0;8.2279872598;50.026807366;8.227646816;50.0265772287;8.2276301692;50.0270266483;8.2283277069;50.0270375024;8.2283443471;50.0265880826;TGB101_100mX4194000000Y2992000000Z0
TGB101_50mX4198850000Y2986100000Z0;8.2975358399;49.9748068186;8.2971954284;49.9745768857;8.2971794608;49.9750263241;8.2978762547;49.9750367505;8.2978922157;49.974587312;TGB101_100mX4198800000Y2986100000Z0
TGB101_50mX4197350000Y2988400000Z0;8.2758884797;49.995166054;8.2755480288;49.9949360576;8.275531848;49.9953854897;8.2762289339;49.9953960493;8.2762451082;49.9949466172;TGB101_100mX4197300000Y2988400000Z0
TGB101_50mX4192950000Y2989100000Z0;8.2143117348;50.0005121832;8.213971541;50.0002820037;8.2139547797;50.0007314247;8.2146519318;50.0007423616;8.2146686867;50.0002929405;TGB101_100mX4192900000Y2989100000Z0
TGB101_50mX4194250000Y2979200000Z0;8.2357145426;49.9118078507;8.2353748672;49.9115777303;8.2353583526;49.9120271673;8.2360542212;49.9120379701;8.2360707292;49.911588533;TGB101_100mX4194200000Y2979200000Z0
TGB101_50mX4202650000Y2990650000Z0;8.3490836159;50.0164863;8.3487426651;50.016256523;8.3487271606;50.0167059639;8.34942457;50.016716076;8.349440068;50.0162666349;TGB101_100mX4202600000Y2990600000Z0
TGB101_50mX4195200000Y2979600000Z0;8.2488049211;49.9156078469;8.2484651567;49.9153777656;8.2484487627;49.9158272043;8.2491446887;49.9158379271;8.2491610762;49.9153884883;TGB101_100mX4195200000Y2979600000Z0
TGB101_50mX4197500000Y2988350000Z0;8.2779958868;49.9947482811;8.2776554287;49.994518291;8.2776392678;49.9949677234;8.2783363481;49.9949782701;8.2783525024;49.9945288376;TGB101_100mX4197500000Y2988300000Z0
TGB101_50mX4196500000Y2988750000Z0;8.2639240852;49.9981319338;8.2635836707;49.9979019019;8.2635673761;49.9983513316;8.264264503;49.9983619646;8.264280791;49.9979125348;TGB101_100mX4196500000Y2988700000Z0
TGB101_50mX4196500000Y2989950000Z0;8.2635329826;50.0089182278;8.2631924942;50.0086881953;8.2631761904;50.0091376234;8.2638734742;50.0091482592;8.2638897714;50.008698831;TGB101_100mX4196500000Y2989900000Z0
TGB101_50mX4189950000Y2991700000Z0;8.1715909727;50.0232177174;8.1712508243;50.022987412;8.1712336498;50.0234368224;8.1719311243;50.0234480217;8.1719482923;50.0229986112;TGB101_100mX4189900000Y2991700000Z0
TGB101_50mX4196450000Y2989900000Z0;8.2628520091;50.0084581619;8.2625115272;50.0082281274;8.2624952173;50.0086775554;8.2631924942;50.0086881953;8.2632087976;50.0082387672;TGB101_100mX4196400000Y2989900000Z0
TGB101_50mX4196700000Y2989400000Z0;8.2665011019;50.004017018;8.2661606337;50.0037869941;8.2661443603;50.0042364234;8.2668415733;50.0042470408;8.2668578402;50.0037976114;TGB101_100mX4196700000Y2989400000Z0
TGB101_50mX4196150000Y2989600000Z0;8.2587664408;50.0056976803;8.2584259979;50.0054676335;8.258409651;50.0059170612;8.259106887;50.0059277261;8.2591232274;50.0054782982;TGB101_100mX4196100000Y2989600000Z0
TGB101_50mX4196800000Y2989800000Z0;8.2677654529;50.0076336784;8.2674249533;50.0074036585;8.2674086898;50.0078530875;8.2681059557;50.0078636973;8.2681222126;50.0074142682;TGB101_100mX4196800000Y2989800000Z0
TGB101_50mX4194650000Y2991500000Z0;8.2372207959;50.022453892;8.2368803384;50.022223782;8.2368637806;50.0226732037;8.2375612566;50.0226840011;8.2375778078;50.0222345792;TGB101_100mX4194600000Y2991500000Z0
TGB101_50mX4194450000Y2991350000Z0;8.2344806478;50.0210624042;8.2341402133;50.0208322859;8.2341236305;50.0212817074;8.2348210856;50.0212925215;8.2348376619;50.0208430999;TGB101_100mX4194400000Y2991300000Z0
TGB101_50mX4196800000Y2989950000Z0;8.2677166707;50.0089819652;8.2673761618;50.0087519452;8.2673598973;50.009201374;8.2680571827;50.0092119841;8.2680734408;50.0087625552;TGB101_100mX4196800000Y2989900000Z0
TGB101_50mX4195000000Y2979100000Z0;8.2461853808;49.9110705353;8.2458456606;49.910840446;8.2458292444;49.9112898849;8.2465251042;49.9113006236;8.2465415139;49.9108511846;TGB101_100mX4195000000Y2979100000Z0
TGB101_50mX4196600000Y2989150000Z0;8.2651880945;50.0017486285;8.2648476486;50.0015186006;8.264831364;50.0019680299;8.2655285437;50.0019786553;8.2655448218;50.0015292259;TGB101_100mX4196600000Y2989100000Z0
TGB101_50mX4196550000Y2988750000Z0;8.264621209;49.9981425646;8.264280791;49.9979125348;8.264264503;49.9983619646;8.2649616301;49.9983725933;8.2649779117;49.9979231634;TGB101_100mX4196500000Y2988700000Z0
TGB101_50mX4197450000Y2988950000Z0;8.277104813;50.0001309163;8.2767643214;49.9999009238;8.2767481494;50.0003503554;8.2774453078;50.0003609078;8.2774614732;49.9999114761;TGB101_100mX4197400000Y2988900000Z0
TGB101_50mX4195700000Y2991050000Z0;8.2520155242;50.0186348726;8.2516750227;50.0184048063;8.2516586058;50.0188542312;8.2523560289;50.0188649378;8.2523724393;50.0184155129;TGB101_100mX4195700000Y2991000000Z0
TGB101_50mX4195100000Y2997950000Z0;8.2413668944;50.080525909;8.2410260085;50.0802958143;8.2410094595;50.0807452288;8.2417077835;50.0807560027;8.2417243259;50.0803065881;TGB101_100mX4195100000Y2997900000Z0
TGB101_50mX4194700000Y2990800000Z0;8.2381499025;50.0161727735;8.2378094847;50.0159426658;8.2377929389;50.0163920886;8.2384903235;50.0164028801;8.2385068628;50.0159534572;TGB101_100mX4194700000Y2990800000Z0
TGB101_50mX4196700000Y2988500000Z0;8.2667939031;49.9959272798;8.2664534904;49.9956972564;8.2664372238;49.9961466868;8.2671343192;49.9961573022;8.2671505792;49.9957078716;TGB101_100mX4196700000Y2988500000Z0
TGB101_50mX4196050000Y2989600000Z0;8.2573719759;50.0056763422;8.2570315398;50.0054462912;8.2570151799;50.0058957187;8.2577124153;50.0059063921;8.2577287687;50.0054569645;TGB101_100mX4196000000Y2989600000Z0
TGB101_50mX4190600000Y2988300000Z0;8.1818190539;49.9928027815;8.1814790697;49.992572505;8.1814620076;49.9930219214;8.1821590413;49.993033057;8.182176097;49.9925836405;TGB101_100mX4190600000Y2988300000Z0
TGB101_50mX4196550000Y2989100000Z0;8.2645072059;50.0012885717;8.2641667664;50.0010585417;8.2641504757;50.001507971;8.2648476486;50.0015186006;8.2648639328;50.0010691712;TGB101_100mX4196500000Y2989100000Z0
TGB101_50mX4203550000Y2990300000Z0;8.3617446459;50.0135215221;8.3614036554;50.0132917827;8.3613882712;50.0137412261;8.3620856397;50.0137512605;8.3621010173;50.013301817;TGB101_100mX4203500000Y2990300000Z0
TGB101_50mX4198050000Y2989850000Z0;8.2851810088;50.0083470196;8.2848404209;50.0081170516;8.2848243205;50.0085664834;8.2855216;50.0085769865;8.2855376938;50.0081275547;TGB101_100mX4198000000Y2989800000Z0
TGB101_50mX4195100000Y2990200000Z0;8.2439268174;50.0108658778;8.2435864093;50.0106357871;8.2435699204;50.0110852116;8.2442672289;50.0110959675;8.2442837112;50.0106465429;TGB101_100mX4195100000Y2990200000Z0
TGB101_50mX4190150000Y2987300000Z0;8.1758880644;49.9837140685;8.1755481722;49.9834837739;8.1755310593;49.9839331905;8.1762279598;49.9839443621;8.1762450661;49.9834949454;TGB101_100mX4190100000Y2987300000Z0
TGB101_50mX4186350000Y2980050000Z0;8.1254732587;49.9176879406;8.1251340688;49.9174574926;8.1251165195;49.9179069096;8.1258124518;49.9179183875;8.1258299947;49.9174689705;TGB101_100mX4186300000Y2980000000Z0
TGB101_50mX4193150000Y2988700000Z0;8.2172341759;49.9969605228;8.216893993;49.9967303518;8.2168772609;49.9971797738;8.217574362;49.9971906927;8.2175910876;49.9967412706;TGB101_100mX4193100000Y2988700000Z0
