SOB_ID;as_code;ring
SOB_20251217T163546165060Z_VBVVRU2XKBGC;TGB101_10mX4194350000Y2989100000Z0;0
SOB_20251217T163546165236Z_3HXU7FGKVJAF;TGB101_10mX4196720000Y2989040000Z0;0
SOB_20251217T163546165390Z_L2QVQH5Q2BGR;TGB101_10mX4193370000Y2989720000Z0;0
SOB_20251217T163546165535Z_NV2EC7TJVFG7;TGB101_10mX4196500000Y2989950000Z0;0
SOB_20251217T163546165678Z_OS3CWSHMKBCB;TGB101_10mX4196090000Y2990280000Z0;0
SOB_20251217T163546165825Z_ESZ65NZEUBH7;TGB101_10mX4195930000Y2989730000Z0;0
SOB_20251217T163546165968Z_CDOC6J6MJVHD;TGB101_10mX4196230000Y2989480000Z0;0
SOB_20251217T163546166122Z_3MACKYBYYRBX;TGB101_10mX4196410000Y2989260000Z0;0
SOB_20251217T163546166267Z_7J2ESWYBPNBM;TGB101_10mX4196810000Y2990000000Z0;0
SOB_20251217T163546166409Z_BGZZHPPA4VG4;TGB101_10mX4197120000Y2989030000Z0;0
SOB_20251217T163546166606Z_JTIYI5ILSNFZ;TGB101_10mX4195060000Y2985670000Z0;0
SOB_20251217T163546166761Z_RO5NB5EQQBHY;TGB101_10mX4192560000Y2988930000Z0;0
SOB_20251217T163546166920Z_Y3K5OAJHDNGE;TGB101_10mX4196490000Y2989150000Z0;0
SOB_20251217T163546167064Z_66QET47NRBB6;TGB101_10mX4196570000Y2989080000Z0;0
SOB_20251217T163546167216Z_G6FDJXZFBRAN;TGB101_10mX4196740000Y2988750000Z0;0
SOB_20251217T163546167366Z_KOLSI74KI5EW;TGB101_10mX4197230000Y2988560000Z0;0
SOB_20251217T163546167512Z_C3G53RBJR5HV;TGB101_10mX4197420000Y2988480000Z0;0
SOB_20251217T163546167653Z_ZFCVSZ27NJHV;TGB101_10mX4197370000Y2988410000Z0;0
SOB_20251217T163546167825Z_5VEI2IDY3FCA;TGB101_10mX4197010000Y2988860000Z0;0
SOB_20251217T163546168039Z_S33KKZBREJBK;TGB101_10mX4197580000Y2988790000Z0;0
SOB_20251217T163546168271Z_D4XMGW2KTBCO;TGB101_10mX4196730000Y2989270000Z0;0
SOB_20251217T163546168534Z_465GEALJYVAR;TGB101_10mX4196610000Y2989190000Z0;0
SOB_20251217T163546168881Z_66BQ6XXEA5E3;TGB101_10mX4169940000Y2986200000Z0;0
SOB_20251217T163546169179Z_MD2U7IU5SVAJ;TGB101_10mX4196740000Y2989160000Z0;0
SOB_20251217T163546169420Z_D5N66IH7DNCR;TGB101_10mX4192710000Y2989410000Z0;0
SOB_20251217T163546169567Z_4IJVWLPYSBGR;TGB101_10mX4195680000Y2987710000Z0;0
SOB_20251217T163546169744Z_3UUKCB4PDBEZ;TGB101_10mX4190210000Y2987930000Z0;0
SOB_20251217T163546169902Z_MOMQ6NYZMRFY;TGB101_10mX4197590000Y2987290000Z0;0
SOB_20251217T163546170057Z_HJLAP76VQJFF;TGB101_10mX4181720000Y2985750000Z0;0
SOB_20251217T163546170228Z_Q74NKGN52FAT;TGB101_10mX4197500000Y2988690000Z0;0
SOB_20251217T163546170373Z_OCSZTHNOJNBD;TGB101_10mX4196440000Y2989090000Z0;0
SOB_20251217T163546170517Z_L375DWX2ANFT;TGB101_10mX4196760000Y2989350000Z0;0
SOB_20251217T163546170706Z_HDH7FME5HZCA;TGB101_10mX4197210000Y2988990000Z0;0
SOB_20251217T163546170864Z_YC57RCTVCZEL;TGB101_10mX4192970000Y2989130000Z0;0
SOB_20251217T163546171004Z_NDTT447J7FAF;TGB101_10mX4196690000Y2989070000Z0;0
SOB_20251217T163546171141Z_6OKR5MH32VBG;TGB101_10mX4198090000Y2989930000Z0;0
SOB_20251217T163546171262Z_UJCMP643BNAM;TGB101_10mX4196670000Y2989140000Z0;0
SOB_20251217T163546171388Z_L43QVZZI6RGT;TGB101_10mX4196550000Y2989110000Z0;0
SOB_20251217T163546171511Z_2S3LPTVG2VCX;TGB101_10mX4196750000Y2988880000Z0;0
SOB_20251217T163546171645Z_YP5PFOKOHRDT;TGB101_10mX4194900000Y2997720000Z0;0
SOB_20251217T163546171770Z_65ZU5XV5NBBL;TGB101_10mX4196440000Y2989070000Z0;0
SOB_20251217T163546171895Z_K2HCK77WXNFM;TGB101_10mX4197410000Y2988890000Z0;0
SOB_20251217T163546172022Z_DLW6XGWFPZGA;TGB101_10mX4197150000Y2989020000Z0;0
SOB_20251217T163546172148Z_C7D6AGZAXVEH;TGB101_10mX4196760000Y2988610000Z0;0
SOB_20251217T163546172274Z_UHPFD7FSJREN;TGB101_10mX4197360000Y2988560000Z0;0
SOB_20251217T163546172401Z_OVZKUFSSVRD6;TGB101_10mX4195670000Y2989950000Z0;0
SOB_20251217T163546172526Z_JXK6GFL4PZFK;TGB101_10mX4197870000Y2989870000Z0;0
SOB_20251217T163546172635Z_JBU32PZ5UND3;TGB101_10mX4197460000Y2988920000Z0;0
SOB_20251217T163546172748Z_Z4MHMNRCDBCN;TGB101_10mX4196810000Y2989120000Z0;0
SOB_20251217T163546172870Z_3YZ4QJCYQVHZ;TGB101_10mX4196610000Y2989340000Z0;0
SOB_20251217T163546172978Z_WWLGCFBZJFER;TGB101_10mX4192240000Y2989100000Z0;0
SOB_20251217T163546173086Z_YKFLQ5VCRZDT;TGB101_10mX4198080000Y2989940000Z0;0
SOB_20251217T163546173198Z_JQQJLPHHNVCV;TGB101_10mX4197190000Y2989000000Z0;0
SOB_20251217T163546173312Z_AFUKOFVMOFC5;TGB101_10mX4197540000Y2988720000Z0;0
SOB_20251217T163546173421Z_BDRWZDL6MNBW;TGB101_10mX4196710000Y2989060000Z0;0
SOB_20251217T163546173536Z_PRLOBVDYLZGZ;TGB101_10mX4196490000Y2989130000Z0;0
SOB_20251217T163546173650Z_NVPQSMSPDNA5;TGB101_10mX4196910000Y2988980000Z0;0
SOB_20251217T163546173758Z_TCYSLYPEQZFL;TGB101_10mX4197150000Y2989020000Z0;0
SOB_20251217T163546173873Z_YTLEGQUDG5FM;TGB101_10mX4197440000Y2988980000Z0;0
SOB_20251217T163546173984Z_X4OBSG7H7NDX;TGB101_10mX4197370000Y2988550000Z0;0
SOB_20251217T163546174099Z_4N2SFIA27VFA;TGB101_10mX4195690000Y2990060000Z0;0
SOB_20251217T163546174228Z_OXTJPZZVZZFC;TGB101_10mX4195070000Y2986930000Z0;0
SOB_20251217T163546174339Z_EX35FJI52FAB;TGB101_10mX4197480000Y2988870000Z0;0
SOB_20251217T163546174447Z_CKFN2TO7FJHC;TGB101_10mX4196750000Y2989170000Z0;0
SOB_20251217T163546174555Z_EWWJJT2RJRFU;TGB101_10mX4196580000Y2989290000Z0;0
SOB_20251217T163546174675Z_RIZ6UI6WMREY;TGB101_10mX4192250000Y2989050000Z0;0
SOB_20251217T163546174786Z_XIB5Z5PPTBDK;TGB101_10mX4198080000Y2989940000Z0;0
SOB_20251217T163546174893Z_WEXYA5GVZ5A5;TGB101_10mX4197150000Y2989020000Z0;0
SOB_20251217T163546175003Z_7VFVVJCAONBS;TGB101_10mX4197300000Y2989340000Z0;0
SOB_20251217T163546175111Z_C2XJKH5DFVAO;TGB101_10mX4196740000Y2989070000Z0;0
SOB_20251217T163546175219Z_X6J3LMS3AVCH;TGB101_10mX4175260000Y2987600000Z0;0
SOB_20251217T163546175337Z_BTVYYC4JONE7;TGB101_10mX4197410000Y2988450000Z0;0
SOB_20251217T163546175448Z_ZOIPRU7IK5GC;TGB101_10mX4197150000Y2989020000Z0;0
SOB_20251217T163546175555Z_YNC4OCUTAFCA;TGB101_10mX4194970000Y2986960000Z0;0
SOB_20251217T163546175665Z_6BUEYUFHPNFD;TGB101_10mX4197350000Y2988560000Z0;0
SOB_20251217T163546175779Z_BWGUL2RSRFCC;TGB101_10mX4195620000Y2990080000Z0;0
SOB_20251217T163546175896Z_5REXCQ3WG5HG;TGB101_10mX4197830000Y2989930000Z0;0
SOB_20251217T163546176006Z_EQMKADQUTVFL;TGB101_10mX4197520000Y2988970000Z0;0
SOB_20251217T163546176136Z_DODQYTPNHFB7;TGB101_10mX4196740000Y2989160000Z0;0
SOB_20251217T163546176250Z_HUJOVT3WGJD7;TGB101_10mX4196690000Y2989290000Z0;0
SOB_20251217T163546176359Z_4KCHW5JILJGW;TGB101_10mX4192270000Y2989060000Z0;0
SOB_20251217T163546176477Z_QLQEAV43BVGU;TGB101_10mX4198080000Y2989940000Z0;0
SOB_20251217T163546176595Z_W5B2GAUODVBH;TGB101_10mX4197260000Y2989020000Z0;0
